Level,Date and Time,Source,Event ID,Message,Threshold
Error,13-02-2025 23:26:36,ACPI,13,he embedded controller did not respond within the specified timeout period his may indicate that there is an error in the hardware or firmware or that the is accessing the incorrectly ou should check with your computer manufacturer for an upgraded n some situations this error may cause the computer to function incorrectly,0.8
Critical,12-02-2025 23:50:52,Microsoft-Windows-Kernel-Power,41,he system has rebooted without cleanly shutting down first his error could be caused if the system stopped responding crashed or lost power unexpectedly,0.6
Error,12-02-2025 23:51:09,EventLog,6008,he previous system shutdown at on was unexpected,0.8
Error,09-02-2025 14:06:51,Microsoft-Windows-DeviceAssociationService,3503,evice ssociation ervice detected an endpoint discovery failure,0.8
Error,08-02-2025 20:43:03,Microsoft-Windows-WindowsUpdateClient,20,nstallation ailure indows failed to install the following update with error x,0.8
Error,05-02-2025 00:10:29,Microsoft-Windows-WindowsUpdateClient,20,nstallation ailure indows failed to install the following update with error x icrosoft indows lient eb xperience,0.8
Error,31-01-2025 20:57:51,BTHUSB,16,he mutual authentication between the local luetooth adapter and a device with luetooth adapter address e failed,0.8
Error,31-01-2025 15:17:27,Microsoft-Windows-WindowsUpdateClient,20,nstallation ailure indows failed to install the following update with error x hats pp esktop,0.8
Error,28-01-2025 23:48:01,Microsoft-Windows-WindowsUpdateClient,20,nstallation ailure indows failed to install the following update with error x icrosoft aming pp,0.8
Error,27-01-2025 18:26:16,Microsoft-Windows-DistributedCOM,10010,he server { } did not register with within the required timeout,0.8
Error,21-01-2025 16:39:49,Microsoft-Windows-WLAN-AutoConfig,10000,xtensibility odule has failed to start odule ath system mtkihvx dll rror ode,0.8
Error,08-01-2025 10:15:12,BTHUSB,17,he local luetooth adapter has failed in an undetermined manner and will not be used he driver has been unloaded,0.8
Error,01-01-2025 02:13:28,Service Control Manager,7000,he team lient ervice service failed to start due to the following error he service did not respond to the start or control request in a timely fashion,0.8
Error,01-01-2025 02:13:28,Service Control Manager,7009,timeout was reached milliseconds while waiting for the team lient ervice service to connect,0.8
Error,25-12-2024 12:40:42,Tcpip,4199,he system detected an address conflict for address with the system having network hardware address etwork operations on this system may be disrupted as a result,0.8
Error,14-12-2024 18:56:08,Microsoft-Windows-WER-SystemErrorReporting,1001,he computer has rebooted from a bugcheck he bugcheck was x x x x xfffff d c a dump was saved in inidump dmp eport d e da a c e c f,0.8
Error,14-12-2024 18:55:51,volmgr,162,ump file generation succeded,0.8
Error,06-12-2024 10:29:23,Microsoft-Windows-WindowsUpdateClient,20,nstallation ailure indows failed to install the following update with error x icrosoft our hone,0.8
Error,05-12-2024 22:23:30,Microsoft-Windows-WER-SystemErrorReporting,1001,he computer has rebooted from a bugcheck he bugcheck was x x x e xfffff dc a x dump was saved in inidump dmp eport d e c b f ad b b db f ae d,0.8
Error,04-12-2024 15:02:39,Volsnap,36,he shadow copies of volume were aborted because the shadow copy storage could not grow due to a user imposed limit,0.8
Error,25-11-2024 02:33:19,Microsoft-Windows-WindowsUpdateClient,20,nstallation ailure indows failed to install the following update with error x umulative pdate review for indows ersion for x based ystems,0.8
Error,24-11-2024 18:07:44,BTHUSB,16,he mutual authentication between the local luetooth adapter and a device with luetooth adapter address e db af failed,0.8
Error,22-11-2024 20:45:24,Microsoft-Windows-WindowsUpdateClient,20,nstallation ailure indows failed to install the following update with error x icrosoft indows pp untime,0.8
Error,19-11-2024 12:37:10,Service Control Manager,7043,he indows pdate service did not shut down properly after receiving a preshutdown control,0.8
Error,19-11-2024 12:31:16,Service Control Manager,7030,he rinter xtensions and otifications service is marked as an interactive service owever the system is configured to not allow interactive services his service may not function properly,0.8
Error,19-11-2024 12:31:15,Service Control Manager,7023,he etwork ist ervice service terminated with the following error he device is not ready,0.8
